,Address,Latitude,Longitude,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
184,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,1,0,1,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
185,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,0,1,1,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
186,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,1,0,0,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
187,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,1,0,1,0,1,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
188,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,3,366.6666667,1,0,1,0,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
189,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,0,0,0,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
190,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,1,0,0,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
191,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,2,260,0,0,1,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
192,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,0,1,0,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
193,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,0,1,1,0,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
194,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,1,1,0,1,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
195,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,2,265,1,1,1,0,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
196,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,0,1,0,0,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
197,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,2,260,0,0,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
198,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,1,0,1,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
199,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,0,0,0,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
200,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,0,1,1,1,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
201,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,1,0,1,0,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
202,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,0,1,0,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
203,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,2,260,0,0,0,0,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
204,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,0,0,0,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
205,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,1,0,1,0,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
206,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,3,366.6666667,1,1,0,1,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
207,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,0,1,0,0,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
208,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,1,0,1,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
209,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,3,260,1,1,0,1,0,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
210,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,1,0,0,0,1,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
211,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,0,1,1,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
212,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,1,1,1,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
213,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,2,265,0,1,0,1,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
214,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,2,397.5,1,1,0,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
215,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,1,1,0,0,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
216,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,4,462.5,1,0,1,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
217,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,0,1,1,0,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
218,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,1,1,0,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
219,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,0,0,1,0,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
220,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,0,1,0,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
221,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,1,1,1,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
222,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,0,0,1,0,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
223,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,4,561,0,1,0,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
224,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,0,1,0,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
225,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,1,0,0,1,1,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
226,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,2,397.5,1,1,1,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
227,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,3,260,0,0,0,0,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
228,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,0,0,0,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
229,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,1,1,0,1,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
230,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,0,1,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
231,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,0,1,0,1,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
232,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,2,397.5,0,0,0,1,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
233,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,1,0,0,1,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
234,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,1,1,1,1,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
235,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,0,1,0,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
236,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,3,366.6666667,0,1,0,1,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
237,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,2,265,0,0,1,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
238,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,0,1,0,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
239,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,3,260,0,1,1,1,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
240,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,1,0,0,0,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
241,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,4,561,1,1,1,0,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
242,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,0,0,1,1,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
243,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,1,0,0,1,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
244,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,0,0,1,0,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
245,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,1,1,1,1,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
246,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,0,0,1,0,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
247,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,0,1,0,0,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
248,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,1,1,1,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
249,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,5,265,1,1,0,1,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
250,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,1,1,1,1,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
251,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,2,260,1,0,1,1,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
252,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,0,0,1,1,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
253,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,0,1,0,1,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
254,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,1,0,0,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
255,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,0,0,0,0,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
256,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,1,0,0,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
257,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,1,1,1,0,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
258,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,0,1,0,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
259,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,1,0,0,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
260,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,1,1,0,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
261,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,5,265,1,0,1,0,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
262,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,1,1,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
