Address,Latitude,Longitude,Price,Beds,Posted,Minimum_Cost,Maximum_Cost,Minimum_Beds,Maximum_Beds,Average_Cost,Area,Website,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
"1007 W Main St Urbana, IL 61801",40.1142697,-88.221507,855,1 to 2,Recently,855,855,1,2,855,Urbana,Hotpads.com,3,427.5,1,1,1,1,0,0,1,1,0,0.8583117099,0.698696011,0.3735695292,4.017351092,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"309 W Washington St Champaign, IL 61820",40.1199332,-88.2480767,"1,195",1 to 2,Recently,1195,1195,1,2,1195,Champaign,Hotpads.com,3,597.5,1,1,0,1,1,0,1,0,1,1.483243413,1.219228836,1.279901142,2.910186131,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"314 S State St Champaign, IL 61820",40.1131096,-88.2465176,"1,195",1 to 2,Recently,1195,1195,1,2,1195,Champaign,Hotpads.com,4,597.5,1,1,1,1,0,1,1,1,1,1.098609163,0.8782643193,1.044609827,2.752964298,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"208 N Harvey St Urbana, IL 61801",40.114199,-88.2221158,795,1 to 3,Recently,795,795,1,3,795,Urbana,Hotpads.com,5,265,0,0,1,0,0,1,1,0,0,0.8379770204,0.6713948112,0.3459982768,3.985218818,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"112 S Scottswood Dr Urbana, IL 61802",40.1118798,-88.174433,"1,100",3,Recently,1100,1100,3,3,1100,Urbana,Hotpads.com,4,366.6666667,1,0,0,0,0,0,1,1,0,2.983593502,3.030087567,2.777284768,6.402957279,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"308 W Green St Urbana, IL 61801",40.1108909,-88.2111752,390,1,Recently,390,390,1,1,390,Urbana,Hotpads.com,4,390,0,1,0,0,1,0,0,1,1,1.107558244,1.097425964,0.8348120631,4.483621151,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"712 W High St Urbana, IL 61801",40.1099652,-88.2173213,"1,650",4,Recently,1650,1650,4,4,1650,Urbana,Hotpads.com,4,412.5,0,1,1,1,0,1,1,0,0,0.7943298814,0.7664340572,0.5136049124,4.152732001,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1708 Nancy Beth Dr Champaign, IL 61822",40.1326463,-88.296154,"1,400",3,Recently,1400,1400,3,3,1400,Champaign,Hotpads.com,5,466.6666667,1,0,0,0,0,1,0,0,0,4.03727553,3.827414834,3.953490981,2.492503428,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"723 S Neil St Champaign, IL 61820",40.1071261,-88.243912,"1,000",1,Recently,1000,1000,1,1,1000,Champaign,Hotpads.com,4,1000,1,1,0,1,0,1,0,0,1,0.7820103307,0.6565963498,0.9312043765,2.741701915,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"2321 Lovie Ln Champaign, IL 61822",40.1625266,-88.2858421,"2,250",2,Recently,2250,2250,2,2,2250,Champaign,Hotpads.com,4,1125,1,1,0,0,1,0,1,1,0,5.03201461,4.755314614,4.73531865,4.574318342,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1 bed, 508 sqft, $710 Urbana, IL 61801",40.1059233,-88.2120315,710,1,Recently,710,710,1,1,710,Urbana,Hotpads.com,3,710,1,0,1,1,0,1,1,1,1,0.9549672109,1.036096636,0.8595853341,4.376182766,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"905 W Springfield Ave Urbana, IL 61801",40.1124863,-88.219985,995,2 to 4,Recently,995,995,2,4,995,Urbana,Hotpads.com,5,248.75,1,1,0,0,0,1,0,1,0,0.8048209935,0.6943882921,0.3863700304,4.059092471,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"107 S Draper Ave Champaign, IL 61821",40.1156595,-88.2705352,975,2,Recently,975,975,2,2,975,Champaign,Hotpads.com,3,487.5,1,1,0,1,1,0,0,1,0,2.305705255,2.135273836,2.325835244,1.805870154,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"202 S Lincoln Ave Urbana, IL 61801",40.111191,-88.2189956,605,Studio to 1,Recently,605,605,Studio,1,605,Urbana,Hotpads.com,5,605,1,0,1,0,1,1,0,1,1,0.7766620397,0.704856274,0.4222435691,4.086519699,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"302 S Busey Ave Urbana, IL 61801",40.1100968,-88.2172508,"1,600",4 to 5,Recently,1600,1600,4,5,1600,Urbana,Hotpads.com,5,320,1,0,0,1,0,0,1,1,1,0.8024795205,0.7720146307,0.516319707,4.158388831,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"2 bed, 1159 sqft, $1,330 Champaign, IL 61820",40.1166102,-88.2412504,"1,330",2,Recently,1330,1330,2,2,1330,Champaign,Hotpads.com,4,665,1,1,0,1,1,1,1,1,1,1.081658653,0.8050394748,0.8532716014,3.108196096,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1002 W Springfield Ave Champaign, IL 61821",40.1128786,-88.2604337,"1,000",2,Recently,1000,1000,2,2,1000,Champaign,Hotpads.com,5,500,1,1,1,0,0,0,0,1,1,1.738618593,1.57067443,1.773738819,2.097072442,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"2510 Covington Dr Champaign, IL 61822",40.1239074,-88.2879675,"1,400",3,Recently,1400,1400,3,3,1400,Champaign,Hotpads.com,5,466.6666667,0,0,1,0,1,1,1,1,1,3.376212679,3.187739937,3.346898518,1.91211769,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"101 N Busey Ave Urbana, IL 61801",40.1123186,-88.2181775,690,2,Recently,690,690,2,2,690,Urbana,Hotpads.com,5,345,1,0,0,1,0,1,1,0,1,0.8615915851,0.7745974127,0.4758605596,4.148100495,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"913 S 3rd St Champaign, IL 61820",40.1068019,-88.2355525,"1,272",3,Recently,1272,1272,3,3,1272,Champaign,Hotpads.com,3,424,0,0,0,0,0,1,0,0,1,0.3735857653,0.2217701221,0.5323825763,3.164822729,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"704 W Stoughton St Urbana, IL 61801",40.1134504,-88.2165326,575,Studio to 1,Recently,575,575,Studio,1,575,Urbana,Hotpads.com,4,575,0,0,1,1,0,1,0,0,0,0.9784274598,0.8868605211,0.5804101411,4.252755628,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"603 W Green St #3E Urbana, IL 61801",40.110409,-88.2149619,"1,300",2,Recently,1300,1300,2,2,1300,Urbana,Hotpads.com,4,650,1,1,1,0,1,0,1,0,0,0.9162076521,0.8947748308,0.6354069463,4.281107506,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"402 S Race St Urbana, IL 61801",40.1097506,-88.2085681,705,Studio to 1,Recently,705,705,Studio,1,705,Urbana,Hotpads.com,5,705,0,1,1,1,0,0,1,0,0,1.201878238,1.220798316,0.975492965,4.601974679,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"512 E Stoughton St #2 Champaign, IL 61820",40.1137574,-88.2306709,"1,295",2,Recently,1295,1295,2,2,1295,Champaign,Hotpads.com,4,647.5,1,1,0,0,0,1,0,0,0,0.7024838444,0.4240412437,0.2807011389,3.547009712,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"608 E Chalmers St Champaign, IL 61820",40.1071536,-88.2295812,"1,599",3 to 4,Recently,1599,1599,3,4,1599,Champaign,Hotpads.com,4,399.75,0,1,0,1,0,1,0,1,0,0.2452504347,0.1074442674,0.2896574676,3.478207554,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"909 S 3rd St Champaign, IL 61820",40.1070456,-88.2357353,"1,227",3 to 5,Recently,1227,1227,3,5,1227,Champaign,Hotpads.com,3,245.4,1,1,1,0,1,0,0,0,0,0.3914027758,0.2273939033,0.5321359994,3.159198826,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"209 N Coler Ave Urbana, IL 61801",40.113868,-88.2161797,620,1 to 2,Recently,620,620,1,2,620,Urbana,Hotpads.com,3,310,0,1,0,0,0,0,0,1,0,1.011917007,0.9166912241,0.607482703,4.278635416,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"309 E Daniel St Champaign, IL 61820",40.1076239,-88.2341894,"1,407",3 to 4,Recently,1407,1407,3,4,1407,Champaign,Hotpads.com,3,351.75,1,0,1,1,0,0,1,1,0,0.3599854743,0.1417996468,0.4413936159,3.247912172,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"311 E Daniel St Champaign, IL 61820",40.1076592,-88.2339856,"1,407",3 to 4,Recently,1407,1407,3,4,1407,Champaign,Hotpads.com,4,351.75,1,1,0,1,0,1,0,1,0,0.3551349341,0.1310153942,0.4308735272,3.258953843,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"610 W Elm St Urbana, IL 61801",40.1117009,-88.215723,550,Studio to 4,Recently,550,550,Studio,4,550,Urbana,Hotpads.com,4,137.5,0,0,1,0,1,0,0,0,0,0.9325247517,0.8796901077,0.5974444424,4.262812861,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"312 W Springfield Ave Downtown, Urbana, IL",40.112599,-88.211689,825,1 to 2,Recently,825,825,1,2,825,Urbana,Hotpads.com,3,412.5,0,0,0,1,1,1,0,1,0,1.143018087,1.101560941,0.816729117,4.484684485,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"207 E Green St Champaign, IL 61820",40.1099402,-88.2358279,"1,576",4,Recently,1576,1576,4,4,1576,Champaign,Hotpads.com,3,394,0,1,0,0,0,0,0,0,0,0.5396443738,0.2776925704,0.4720431164,3.205995639,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"109 E John St Champaign, IL 61820",40.1087525,-88.237485,"1,647",3,Recently,1647,1647,3,3,1647,Champaign,Hotpads.com,4,549,0,1,1,0,1,0,0,0,0,0.5377689985,0.3249356699,0.5739291166,3.099024448,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Locust III Champaign, IL 61820",40.10721,-88.239913,"1,040",4,Recently,1040,1040,4,4,1040,Champaign,Hotpads.com,3,260,1,0,0,1,1,1,0,0,1,0.5872599207,0.4453093843,0.7283735522,2.947460997,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"515 Bash Ct Champaign, IL 61820",40.1119858,-88.2307861,"1,587",3,Recently,1587,1587,3,3,1587,Champaign,Hotpads.com,4,529,0,1,1,0,0,0,1,1,0,0.5808505124,0.3017398584,0.2164690059,3.502265704,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"305 W Green St Champaign, IL 61820",40.1099408,-88.2474729,"1,482",3,Recently,1482,1482,3,3,1482,Champaign,Hotpads.com,5,494,1,0,0,1,1,1,1,0,1,1.029075636,0.8584171755,1.085069391,2.622482968,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"903 W Oregon St Urbana, IL 61801",40.1066269,-88.2197102,998,2,Recently,998,998,2,2,998,Urbana,Hotpads.com,5,499,0,1,0,0,1,1,1,1,1,0.5748195038,0.627405371,0.4817413939,3.983352759,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"901 S 2nd St Champaign, IL 61820",40.1076706,-88.2373709,"2,400",4,Recently,2400,2400,4,4,2400,Champaign,Hotpads.com,3,600,1,1,0,1,1,0,0,1,0,0.4866533578,0.3099152421,0.5915210425,3.08549671,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"135 W Clark St Champaign, IL 61820",40.1150461,-88.2449584,665,1,Recently,665,665,1,1,665,Champaign,Hotpads.com,3,665,1,1,1,0,1,1,0,1,0,1.123425327,0.8753218955,0.993800486,2.884669518,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1905 N Lincoln Ave Urbana, IL 61801",40.130437,-88.221285,525,2 to 4,Recently,525,525,2,4,525,Urbana,Hotpads.com,5,131.25,0,1,0,0,0,0,0,1,1,1.908000097,1.664263027,1.386933218,4.494340048,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"3832 Thornhill Cir Champaign, IL 61822",40.1075201,-88.3089159,650,2,Recently,650,650,2,2,650,Champaign,Hotpads.com,4,325,1,1,0,1,0,0,1,0,1,4.18731298,4.090766223,4.336299153,1.09310991,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"712 W California Ave #1 Urbana, IL 61801",40.1084647,-88.2173023,450,1,Recently,450,450,1,1,450,Urbana,Hotpads.com,4,450,1,1,0,1,0,1,0,0,1,0.7429654936,0.7527089789,0.5367626085,4.131963299,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"926 1/2 Linview Ave Urbana, IL 61801",40.1226745,-88.2179111,495,1,Recently,495,495,1,1,495,Urbana,Hotpads.com,3,495,1,0,1,1,1,1,1,1,0,1.460453599,1.262221492,0.9475227564,4.40252348,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"606 W Elm St #1 Urbana, IL 61801",40.1117141,-88.2152854,"1,095",4,Recently,1095,1095,4,4,1095,Urbana,Hotpads.com,3,273.75,1,0,1,1,0,0,1,1,0,0.9516710886,0.9019283031,0.6205459912,4.285462315,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"714 W Nevada St #2 Urbana, IL 61801",40.1067438,-88.2172642,"1,695",4,Recently,1695,1695,4,4,1695,Urbana,Hotpads.com,5,423.75,0,1,1,0,1,0,1,0,1,0.6993217064,0.7552633174,0.5859716728,4.112084408,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"707-1 W Springfield Ave #2 Urbana, IL 61801",40.1126199,-88.2169598,"2,095",5,Recently,2095,2095,5,5,2095,Urbana,Hotpads.com,3,419,1,0,0,1,1,0,1,1,0,0.9226753784,0.8418074081,0.543213233,4.215651218,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1001 N Walnut St Champaign, IL 61820",40.1251112,-88.2413455,"1,095",5,Recently,1095,1095,5,5,1095,Champaign,Hotpads.com,3,219,0,0,0,0,1,0,1,0,1,1.605062203,1.313484506,1.244547118,3.405898798,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"412 West Elm Street - 1 Urbana, IL 61801",40.1116588,-88.212983,550,8,Recently,550,550,8,8,550,Urbana,Hotpads.com,5,68.75,0,1,0,0,0,0,1,0,1,1.050462264,1.017218188,0.7414282948,4.40267582,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"104 North Central Avenue - 1 Downtown, Urbana, IL",40.1133718,-88.2111227,495,8,Recently,495,495,8,8,495,Urbana,Hotpads.com,4,61.875,1,1,1,1,0,0,0,0,0,1.197491154,1.147317608,0.8556256552,4.527035398,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"809 Fairoaks Dr Champaign, IL 61821",40.1073335,-88.2966098,"1,300",4,Recently,1300,1300,4,4,1300,Champaign,Hotpads.com,4,325,1,0,0,1,0,1,1,0,0,3.537617465,3.440507733,3.68789181,0.754148101,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1 bed, 203 sqft, $630 Urbana, IL 61801",40.1059233,-88.2120315,630,1,Recently,630,630,1,1,630,Urbana,Hotpads.com,5,630,0,0,1,0,1,0,1,0,0,0.9549672109,1.036096636,0.8595853341,4.376182766,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"502 S 5th St Champaign, IL 61820",40.1124453,-88.2319174,660,1,Recently,660,660,1,1,660,Champaign,Hotpads.com,4,660,0,0,0,1,0,0,1,0,0,0.6202037418,0.3317897831,0.2838214621,3.455252319,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"905 Welch Dr Champaign, IL 61820",40.118585,-88.2198898,"2,080",2 to 4,Recently,2080,2080,2,4,2080,Champaign,Hotpads.com,4,520,0,1,0,1,1,0,0,0,0,1.160784689,0.9732762192,0.652987264,4.197156981,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"202 E Springfield Ave Champaign, IL 61820",40.1128202,-88.2366482,620,1,Recently,620,620,1,1,620,Champaign,Hotpads.com,3,620,1,1,0,1,1,0,1,1,0,0.7308648761,0.448623239,0.5292370248,3.227961277,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"708 6th St Champaign, IL 61820",40.1095997,-88.2301132,"1,215",Studio to 4,Recently,1215,1215,Studio,4,1215,Champaign,Hotpads.com,3,303.75,0,1,1,1,1,0,0,0,1,0.4140993708,0.1533003033,0.1867871632,3.490246397,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"2323 Lovie Ln Champaign, IL 61822",40.1625266,-88.2858421,"2,450",3,Recently,2450,2450,3,3,2450,Champaign,Hotpads.com,4,816.6666667,0,1,0,0,1,0,0,0,0,5.03201461,4.755314614,4.73531865,4.574318342,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1003 W Clark St Urbana, IL 61801",40.1152251,-88.2212026,750,1,Recently,750,750,1,1,750,Urbana,Hotpads.com,5,750,0,1,1,0,1,1,0,1,1,0.9234344068,0.7550764287,0.4298139015,4.053114926,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"307 S Prairie St Champaign, IL 61820",40.1136246,-88.2488373,665,1,Recently,665,665,1,1,665,Champaign,Hotpads.com,5,665,0,1,1,1,0,0,0,0,1,1.218986341,1.004457991,1.171255757,2.657402024,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Furnished Studio - Champaign - Urbana Champaign, IL 61822",40.1508051,-88.2601105,"1,554",Studio,Recently,1554,1554,Studio,1,1554,Urbana,Hotpads.com,5,1554,0,1,0,0,1,1,1,0,0,3.631783193,3.342590652,3.269445361,4.148990924,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"207 S Wright St Champaign, IL 61820",40.114627,-88.2291924,"1,790",2,Recently,1790,1790,2,2,1790,Champaign,Hotpads.com,4,895,0,1,1,0,1,1,1,0,1,0.7620014049,0.4970948245,0.2866889003,3.640832736,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"809 S Elm Blvd Champaign, IL 61820",40.1060476,-88.2504343,"1,495",6,Recently,1495,1495,6,6,1495,Champaign,Hotpads.com,5,249.1666667,1,0,0,1,0,0,0,1,0,1.100969253,1.00640431,1.283283167,2.38967035,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1010 W University Ave Urbana, IL 61801",40.1165658,-88.2219593,"1,549",1 to 4,Recently,1549,1549,1,4,1549,Urbana,Hotpads.com,3,387.25,0,0,1,1,0,1,0,0,1,0.987452392,0.7960495441,0.4760858303,4.045798752,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"One North Urbana, IL 61801",40.1291728,-88.223107,264,2 to 4,Recently,264,264,2,4,264,Urbana,Hotpads.com,5,66,0,0,1,1,1,0,0,0,1,1.801788769,1.55167049,1.282997577,4.36678124,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"705 W Stoughton St Urbana, IL 61801",40.112977,-88.2167695,600,2 to 3,Recently,600,600,2,3,600,Urbana,Hotpads.com,5,200,1,0,1,1,1,0,0,0,1,0.9468129431,0.8612431148,0.5590139564,4.231871969,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"104 E Armory Ave Champaign, IL 61820",40.1056226,-88.2381887,"1,600",4,Recently,1600,1600,4,4,1600,Champaign,Hotpads.com,4,400,0,0,0,1,1,1,1,1,1,0.4622713504,0.3799963123,0.6937448121,3.011278242,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"3334 Ridgewood Dr Champaign, IL 61821",40.1123164,-88.3035983,"1,600",4,Recently,1600,1600,4,4,1600,Champaign,Hotpads.com,4,400,0,1,0,0,1,0,0,1,1,3.943582814,3.823207945,4.050360035,1.199242811,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1202 Joanne Ln Champaign, IL 61821",40.1311489,-88.2651036,"1,300",3,Recently,1300,1300,3,3,1300,Champaign,Hotpads.com,4,433.3333333,0,0,0,1,0,1,0,1,0,2.662892828,2.405528725,2.455128744,2.831127047,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1010 W Stoughton St Urbana, IL 61801",40.1138326,-88.2216972,970,2 to 3,Recently,970,970,2,3,970,Urbana,Hotpads.com,3,323.3333333,1,0,1,1,1,0,1,0,0,0.8272643313,0.6715337401,0.3470615345,3.998696953,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"104 N Lincoln 809 W Urbana, IL 61801",40.1130312,-88.2189956,860,2 to 4,Recently,860,860,2,4,860,Urbana,Hotpads.com,4,215,0,0,0,0,0,1,1,1,1,0.8675038142,0.7583730902,0.4478886647,4.119652631,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"105 S Wright St Champaign, IL 61820",40.1157529,-88.2295728,"1,680",2 to 4,Recently,1680,1680,2,4,1680,Champaign,Hotpads.com,5,420,0,0,1,1,0,1,0,0,1,0.8391344279,0.5688651661,0.3661457716,3.649386866,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"106 S Gregory St Urbana, IL 61801",40.1117674,-88.2200611,"1,200",4,Recently,1200,1200,4,4,1200,Urbana,Hotpads.com,3,300,1,0,0,0,1,1,0,1,1,0.7649205719,0.6682767327,0.3708126531,4.04208869,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1106 Euclid St Champaign, IL 61820",40.1047009,-88.2341377,"2,300",4,Recently,2300,2300,4,4,2300,Champaign,Hotpads.com,5,575,1,0,1,0,1,0,1,1,0,0.2389728141,0.2468972297,0.5686181581,3.209375435,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"301 E Clark St Champaign, IL 61820",40.1150987,-88.2352218,920,2,Recently,920,920,2,2,920,Champaign,Hotpads.com,5,460,1,1,1,0,1,0,0,0,0,0.8430967396,0.5506054355,0.5258720641,3.355431514,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"303 W Green St Champaign, IL 61820",40.1099148,-88.2470685,"1,851",3 to 4,Recently,1851,1851,3,4,1851,Champaign,Hotpads.com,5,462.75,0,0,1,1,0,0,1,1,1,1.00899551,0.8370842778,1.063842047,2.641879546,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"309 E John St Champaign, IL 61820",40.108784,-88.2342899,"1,600",2 to 4,Recently,1600,1600,2,4,1600,Champaign,Hotpads.com,3,400,1,0,1,0,1,0,1,1,0,0.4277162197,0.1665443761,0.4119431331,3.262460367,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"401 W Springfield Ave Urbana, IL 61801",40.1121215,-88.2119712,"1,700",4,Recently,1700,1700,4,4,1700,Urbana,Hotpads.com,3,425,1,0,1,1,1,0,1,1,0,1.112746768,1.077485283,0.7976580791,4.462208607,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"402 N Gregory St Urbana, IL 61801",40.1156934,-88.2204416,"1,240",2,Recently,1240,1240,2,2,1240,Urbana,Hotpads.com,3,620,1,1,1,0,1,1,1,1,1,0.9716316546,0.8065031943,0.4811751864,4.101546523,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"402 S 5th St Champaign, IL 61820",40.1131278,-88.2318743,"1,280",4,Recently,1280,1280,4,4,1280,Champaign,Hotpads.com,5,320,0,0,1,1,1,1,1,0,0,0.6663024387,0.3787341947,0.3033949751,3.472606609,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"48 E John St Champaign, IL 61820",40.1093307,-88.2398927,"1,300",4,Recently,1300,1300,4,4,1300,Champaign,Hotpads.com,5,325,1,0,0,1,1,1,0,1,0,0.6618851139,0.4580726147,0.6906518621,2.988219938,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"506 S 4th St Champaign, IL 61820",40.1121117,-88.2333675,"1,551",3 to 4,Recently,1551,1551,3,4,1551,Champaign,Hotpads.com,5,387.75,1,0,1,1,0,1,0,0,1,0.6161857095,0.3233477449,0.3491257824,3.375270321,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
